,輸入您想查詢的年,,,,,,,,,,,,,,,,,,,,,,
,西元,1984,年,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
0,年運,,,,,,,,,,,,,,,,,,,,,,
,上卦,5,風,☴,卦序,卦名,,,,,,,,,,,,,,,,,
,下卦,5,風,☴,57,巽,,,,,,,,,,,,,,,,,
,,,,,,,,,大元運演六卦,,,,,,,,,拆六卦,,,,,
32,大元運(2160年),,,,,,第,,,1卦,2卦,3卦,4卦,5卦,6卦,,,1,2,3,4,5,6
,上卦,2,澤,☱,卦序,卦名,6,,上卦,☱,☱,☱,☵,☳,☰,,上卦,2,2,2,6,4,1
,下卦,5,風,☴,28,大過,爻,,下卦,☰,☶,☵,☴,☴,☴,,下卦,1,7,6,5,5,5
,,,,,,,,,卦序,43,31,47,48,32,44,,,,,,,,
,,,,,,,,,卦名,夬,咸,困,井,恆,姤,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,中元運演六卦,,,,,,,,,,,,,,
,中元運(360年),,,,,,第,,,1卦,2卦,3卦,4卦,5卦,6卦,,,1,2,3,4,5,6
,上卦,1,天,☰,卦序,卦名,4,,上卦,☰,☰,☰,☴,☲,☱,,上卦,1,1,1,5,3,2
,下卦,5,風,☴,44,姤,爻,,下卦,☰,☶,☵,☴,☴,☴,,下卦,1,7,6,5,5,5
,,,,,,,,,卦序,1,33,6,57,50,28,,,,,,,,
,,,,,,,,,卦名,乾,遯,訟,巽,鼎,大過,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,小元運演六卦,,,,,,,,,,,,,,
35,小元運(60年),,,,,,第,,,1卦,2卦,3卦,4卦,5卦,6卦,,,1,2,3,4,5,6
,上卦,5,風,☴,卦序,卦名,6,,上卦,☴,☴,☴,☰,☶,☵,,上卦,5,5,5,1,7,6
,下卦,5,風,☴,57,巽,爻,,下卦,☰,☶,☵,☴,☴,☴,,下卦,1,7,6,5,5,5
,,,,,,,,,卦序,9,53,59,44,18,48,,,,,,,,
,,,,,,,,,卦名,小畜,漸,渙,姤,蠱,井,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,10年運(10年),,,,,,第,,,,,,,,,,,,,,,,
,上卦,6,水,☵,卦序,卦名,35,,,,,,,,,,,,,,,,
,下卦,5,風,☴,48,井,卦,,,,,,,,,,,,,,,,
